scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-03 14:14:31_100_0.3_73,1,2,dynamic_1,"(126.83483641700384, 37.29844248144989)",0456,92,SHUTTLE0002,76.16363778229416,71.16363778229416,92.0,1.0,261.0,True,SHUTTLE0002,316.0,-16.16363778229416
2026-03-03 14:14:31_100_0.3_73,2,3,dynamic_2,"(126.83613977254082, 37.297997186985)",0019,106,SHUTTLE0002,87.2917268888396,30.291726888839605,106.0,,181.0,True,SHUTTLE0002,216.0,4.708273111160395
2026-03-03 14:14:31_100_0.3_73,3,2,dynamic_3,"(126.85139175483499, 37.30640467391556)",0203,127,SHUTTLE0004,107.13527817545277,142.13527817545275,127.0,,252.0,True,SHUTTLE0004,447.0,52.864721824547246
2026-03-03 14:14:31_100_0.3_73,4,3,dynamic_4,"(126.8358105247218, 37.29271207546012)",0066,205,SHUTTLE0003,316.1744742061998,276.1744742061998,205.0,,460.0,True,SHUTTLE0003,705.0,-31.174474206199818
2026-03-03 14:14:31_100_0.3_73,5,4,dynamic_5,"(126.82741805346254, 37.304072551499104)",0482,241,SHUTTLE0005,153.14507754858087,248.14507754858087,241.0,,426.0,True,SHUTTLE0005,601.0,-73.14507754858087
2026-03-03 14:14:31_100_0.3_73,6,2,dynamic_6,"(126.83269699959511, 37.29841822548219)",0274,249,SHUTTLE0001,278.11149316915765,31.111493169157654,249.0,,484.0,True,SHUTTLE0001,519.0,3.8885068308423456
2026-03-03 14:14:31_100_0.3_73,7,4,dynamic_7,"(126.85493758653598, 37.287457695484136)",0163,284,SHUTTLE0006,167.3118704285862,148.3118704285862,284.0,,369.0,True,SHUTTLE0006,464.0,-53.31187042858619
2026-03-03 14:14:31_100_0.3_73,8,3,dynamic_8,"(126.83368772883794, 37.29845646848338)",0312,336,SHUTTLE0002,71.29397625444972,183.29397625444972,336.0,,391.0,True,SHUTTLE0002,536.0,-38.29397625444972
2026-03-03 14:14:31_100_0.3_73,9,2,dynamic_9,"(126.83744158520057, 37.29808091363175)",0031,666,SHUTTLE0001,103.1861780028617,71.1861780028617,666.0,,731.0,True,SHUTTLE0001,796.0,-6.186178002861695
2026-03-03 14:14:31_100_0.3_73,10,2,dynamic_10,"(126.83361169600259, 37.29775369904955)",0203,829,SHUTTLE0001,43.29416071739242,255.29416071739243,829.0,1.0,874.0,True,SHUTTLE0001,1442.0,312.7058392826076
2026-03-03 14:14:31_100_0.3_73,11,4,dynamic_11,"(126.83953941871673, 37.30197421792152)",0016,977,SHUTTLE0001,13.080267633915318,264.0802676339153,977.0,,1032.0,True,SHUTTLE0001,1287.0,-9.080267633915298
2026-03-03 14:14:31_100_0.3_73,12,4,dynamic_12,"(126.83490549966824, 37.31739662902915)",0284,990,SHUTTLE0004,36.10706390923892,312.10706390923895,990.0,,1055.0,True,SHUTTLE0004,1344.0,-23.107063909238946
2026-03-03 14:14:31_100_0.3_73,13,2,dynamic_13,"(126.8327649494066, 37.29607109990993)",0158,1209,SHUTTLE0004,147.37562317635408,71.37562317635408,1209.0,,1369.0,True,SHUTTLE0004,1424.0,-16.375623176354082
2026-03-03 14:14:31_100_0.3_73,14,2,dynamic_14,"(126.86353435846824, 37.30200085642392)",0114,1373,SHUTTLE0005,0.1499296772593859,250.1499296772594,1373.0,,1398.0,True,SHUTTLE0005,1605.0,-43.149929677259394
2026-03-03 14:14:31_100_0.3_73,15,4,dynamic_15,"(126.8602651756086, 37.31119783388671)",0271,1383,SHUTTLE0003,229.2335138780606,277.2335138780606,1383.0,1.0,1548.0,True,SHUTTLE0003,2045.0,219.7664861219394
2026-03-03 14:14:31_100_0.3_73,16,2,dynamic_16,"(126.8310687027518, 37.31059625551641)",0050,1392,SHUTTLE0002,28.271466012254773,203.2714660122548,1392.0,,1457.0,True,SHUTTLE0002,1612.0,-48.27146601225479
2026-03-03 14:14:31_100_0.3_73,17,1,dynamic_17,"(126.8352535886907, 37.29247798602247)",0380,1500,SHUTTLE0004,74.34615892727572,338.3461589272757,1500.0,3.0,1585.0,True,SHUTTLE0004,,
2026-03-03 14:14:31_100_0.3_73,18,1,dynamic_18,"(126.8352535886907, 37.29247798602247)",0380,1530,SHUTTLE0004,27.038476781827157,338.3461589272757,1530.0,2.0,1655.0,True,SHUTTLE0004,,
2026-03-03 14:14:31_100_0.3_73,19,3,dynamic_19,"(126.83693898491825, 37.30043089732142)",0105,1546,SHUTTLE0005,126.1849257576065,230.1849257576065,1546.0,1.0,1765.0,True,SHUTTLE0005,2065.0,69.81507424239351
2026-03-03 14:14:31_100_0.3_73,20,1,dynamic_20,"(126.8352535886907, 37.29247798602247)",0380,1560,SHUTTLE0004,1.038476781827157,339.03847678182717,1560.0,1.0,1620.0,True,SHUTTLE0004,,
2026-03-03 14:14:31_100_0.3_73,21,2,dynamic_21,"(126.86381723918241, 37.289221949152726)",0255,1590,SHUTTLE0003,198.10352363593321,201.1035236359332,1590.0,,1745.0,True,SHUTTLE0003,1870.0,-76.10352363593319
2026-03-03 14:14:31_100_0.3_73,22,1,dynamic_22,"(126.8352535886907, 37.29247798602247)",0380,1590,SHUTTLE0005,55.34615892727572,369.7160104424887,1590.0,,1660.0,True,SHUTTLE0005,1960.0,-69.71601044248871
